縣市,HIV診斷年份,HIV診斷月份,性別,診斷年齡分組,個案數
高雄市,1999,6,男,15-24,1
高雄市,1999,6,男,25-34,2
高雄市,1999,6,男,35-49,1
基隆市,1999,6,男,25-34,1
基隆市,1999,6,男,50-64,1
新北市,1999,6,女,65以上,1
新北市,1999,6,男,15-24,1
新北市,1999,6,男,25-34,1
新北市,1999,6,男,35-49,1
新北市,1999,6,男,50-64,2
彰化縣,1999,6,男,25-34,2
台中市,1999,7,男,15-24,1
台中市,1999,7,男,25-34,1
台中市,1999,7,男,35-49,2
台北市,1999,7,女,25-34,1
台北市,1999,7,女,35-49,1
台北市,1999,7,男,15-24,1
台北市,1999,7,男,25-34,3
台北市,1999,7,男,35-49,3
台南市,1999,7,女,未滿15,1
台南市,1999,7,男,15-24,1
台南市,1999,7,男,35-49,1
宜蘭縣,1999,7,男,25-34,1
花蓮縣,1999,7,女,50-64,1
花蓮縣,1999,7,男,15-24,2
花蓮縣,1999,7,男,35-49,1
桃園市,1999,7,男,25-34,2
桃園市,1999,7,男,35-49,1
桃園市,1999,7,男,50-64,1
高雄市,1999,7,女,35-49,1
高雄市,1999,7,男,15-24,1
高雄市,1999,7,男,25-34,2
高雄市,1999,7,男,35-49,1
基隆市,1999,7,男,25-34,1
雲林縣,1999,7,男,15-24,1
新北市,1999,7,女,25-34,1
新北市,1999,7,男,15-24,2
新北市,1999,7,男,25-34,4
新北市,1999,7,男,35-49,3
新北市,1999,7,男,50-64,1
新北市,1999,7,男,65以上,1
新竹縣,1999,7,女,35-49,1
台中市,1999,8,男,25-34,2
台中市,1999,8,男,35-49,2
台北市,1999,8,男,15-24,1
台北市,1999,8,男,25-34,3
台東縣,1999,8,男,25-34,1
台南市,1999,8,女,35-49,1
台南市,1999,8,男,25-34,1
宜蘭縣,1999,8,女,50-64,1
南投縣,1999,8,男,35-49,1
桃園市,1999,8,男,15-24,1
桃園市,1999,8,男,25-34,2
桃園市,1999,8,男,35-49,1
高雄市,1999,8,男,15-24,1
高雄市,1999,8,男,25-34,1
高雄市,1999,8,男,35-49,2
雲林縣,1999,8,男,65以上,1
新北市,1999,8,男,15-24,2
新北市,1999,8,男,25-34,1
新北市,1999,8,男,35-49,2
新竹縣,1999,8,男,35-49,1
嘉義市,1999,8,男,25-34,1
彰化縣,1999,8,男,未滿15,1
台中市,1999,9,男,15-24,2
台北市,1999,9,女,35-49,2
台北市,1999,9,男,25-34,3
台北市,1999,9,男,35-49,2
台北市,1999,9,男,50-64,2
台北市,1999,9,男,未滿15,1
台南市,1999,9,男,15-24,1
台南市,1999,9,男,50-64,3
宜蘭縣,1999,9,男,65以上,1
花蓮縣,1999,9,男,35-49,1
屏東縣,1999,9,男,50-64,1
桃園市,1999,9,女,25-34,2
桃園市,1999,9,女,35-49,1
桃園市,1999,9,男,15-24,2
桃園市,1999,9,男,25-34,1
桃園市,1999,9,男,35-49,1
高雄市,1999,9,男,25-34,3
高雄市,1999,9,男,35-49,2
高雄市,1999,9,男,50-64,1
基隆市,1999,9,男,25-34,1
基隆市,1999,9,男,50-64,1
基隆市,1999,9,男,65以上,1
新北市,1999,9,男,15-24,5
新北市,1999,9,男,25-34,2
新北市,1999,9,男,35-49,3
新北市,1999,9,男,50-64,2
新竹市,1999,9,男,15-24,1
嘉義市,1999,9,男,50-64,1
嘉義縣,1999,9,男,35-49,1
彰化縣,1999,9,男,25-34,1
台中市,1999,10,女,25-34,1
台中市,1999,10,男,15-24,1
台中市,1999,10,男,25-34,2
台中市,1999,10,男,35-49,1
台北市,1999,10,男,15-24,2
台北市,1999,10,男,25-34,2
台北市,1999,10,男,35-49,2
台南市,1999,10,男,25-34,2
屏東縣,1999,10,男,25-34,1
屏東縣,1999,10,男,35-49,1
桃園市,1999,10,男,15-24,2
桃園市,1999,10,男,25-34,2
桃園市,1999,10,男,35-49,3
高雄市,1999,10,男,15-24,1
高雄市,1999,10,男,25-34,2
新北市,1999,10,男,15-24,5
新北市,1999,10,男,25-34,4
新北市,1999,10,男,35-49,5
彰化縣,1999,10,男,15-24,1
台中市,1999,11,男,15-24,3
台中市,1999,11,男,25-34,3
台中市,1999,11,男,35-49,1
台北市,1999,11,男,15-24,2
台北市,1999,11,男,25-34,6
台北市,1999,11,男,35-49,2
台北市,1999,11,男,50-64,1
台南市,1999,11,男,15-24,1
台南市,1999,11,男,35-49,1
花蓮縣,1999,11,男,25-34,2
南投縣,1999,11,男,35-49,1
屏東縣,1999,11,女,50-64,1
屏東縣,1999,11,男,25-34,2
屏東縣,1999,11,男,65以上,1
苗栗縣,1999,11,男,35-49,1
桃園市,1999,11,女,35-49,1
桃園市,1999,11,男,15-24,1
桃園市,1999,11,男,25-34,1
桃園市,1999,11,男,35-49,1
基隆市,1999,11,男,35-49,1
新北市,1999,11,女,25-34,1
新北市,1999,11,女,35-49,1
新北市,1999,11,男,15-24,1
新北市,1999,11,男,25-34,4
新北市,1999,11,男,35-49,3
新北市,1999,11,男,65以上,1
新竹縣,1999,11,男,35-49,1
嘉義縣,1999,11,男,15-24,1
彰化縣,1999,11,男,25-34,1
台中市,1999,12,男,25-34,1
台中市,1999,12,男,35-49,2
台北市,1999,12,女,50-64,1
台北市,1999,12,男,25-34,1
台北市,1999,12,男,35-49,3
台北市,1999,12,男,50-64,1
台南市,1999,12,女,35-49,1
台南市,1999,12,男,15-24,1
花蓮縣,1999,12,女,35-49,1
屏東縣,1999,12,男,25-34,1
屏東縣,1999,12,男,35-49,1
苗栗縣,1999,12,男,15-24,1
苗栗縣,1999,12,男,25-34,1
桃園市,1999,12,男,25-34,2
桃園市,1999,12,男,35-49,2
高雄市,1999,12,女,25-34,1
高雄市,1999,12,男,15-24,2
高雄市,1999,12,男,25-34,1
高雄市,1999,12,男,35-49,1
基隆市,1999,12,男,25-34,1
新北市,1999,12,男,15-24,1
新北市,1999,12,男,25-34,2
新北市,1999,12,男,35-49,1
新北市,1999,12,男,50-64,3
新竹市,1999,12,男,25-34,1
新竹市,1999,12,男,35-49,1
台中市,2000,1,男,15-24,1
台中市,2000,1,男,25-34,4
台中市,2000,1,男,35-49,1
台北市,2000,1,女,35-49,1
台北市,2000,1,男,15-24,1
台北市,2000,1,男,25-34,3
台南市,2000,1,男,65以上,1
宜蘭縣,2000,1,男,35-49,1
花蓮縣,2000,1,男,35-49,1
南投縣,2000,1,男,25-34,1
屏東縣,2000,1,女,50-64,1
屏東縣,2000,1,男,50-64,1
桃園市,2000,1,男,15-24,1
桃園市,2000,1,男,35-49,2
高雄市,2000,1,男,15-24,3
高雄市,2000,1,男,25-34,3
高雄市,2000,1,男,35-49,2
高雄市,2000,1,男,50-64,1
基隆市,2000,1,女,35-49,1
新北市,2000,1,男,15-24,3
新北市,2000,1,男,25-34,4
新北市,2000,1,男,35-49,1
新北市,2000,1,男,50-64,1
新竹縣,2000,1,男,25-34,1
嘉義縣,2000,1,男,25-34,1
台中市,2000,2,男,15-24,2
台中市,2000,2,男,25-34,1
台中市,2000,2,男,35-49,2
台北市,2000,2,女,35-49,1
台北市,2000,2,男,25-34,2
台南市,2000,2,男,15-24,1
台南市,2000,2,男,50-64,3
屏東縣,2000,2,男,15-24,1
桃園市,2000,2,男,15-24,1
桃園市,2000,2,男,25-34,1
桃園市,2000,2,男,65以上,1
高雄市,2000,2,男,35-49,1
高雄市,2000,2,男,50-64,2
基隆市,2000,2,男,35-49,1
新北市,2000,2,男,15-24,1
新北市,2000,2,男,25-34,3
新北市,2000,2,男,50-64,1
新竹縣,2000,2,男,15-24,1
台中市,2000,3,女,25-34,1
台中市,2000,3,女,35-49,1
台中市,2000,3,男,15-24,1
台中市,2000,3,男,25-34,2
台中市,2000,3,男,50-64,1
台北市,2000,3,男,15-24,1
台北市,2000,3,男,25-34,2
台北市,2000,3,男,35-49,2
台北市,2000,3,男,50-64,1
花蓮縣,2000,3,男,15-24,1
花蓮縣,2000,3,男,25-34,1
苗栗縣,2000,3,女,15-24,1
桃園市,2000,3,男,15-24,1
桃園市,2000,3,男,25-34,1
高雄市,2000,3,男,15-24,1
高雄市,2000,3,男,25-34,1
新北市,2000,3,女,50-64,1
新北市,2000,3,男,15-24,3
新北市,2000,3,男,25-34,8
新北市,2000,3,男,35-49,2
新北市,2000,3,男,50-64,1
新竹縣,2000,3,男,50-64,1
嘉義縣,2000,3,男,50-64,1
台中市,2000,4,女,50-64,1
台中市,2000,4,男,25-34,2
台中市,2000,4,男,35-49,2
台北市,2000,4,男,15-24,1
台北市,2000,4,男,25-34,4
台北市,2000,4,男,35-49,2
台南市,2000,4,男,25-34,1
屏東縣,2000,4,男,35-49,1
桃園市,2000,4,男,15-24,1
高雄市,2000,4,男,35-49,1
新北市,2000,4,男,25-34,7
新北市,2000,4,男,35-49,4
新北市,2000,4,男,50-64,1
彰化縣,2000,4,男,35-49,1
台中市,2000,5,男,15-24,1
台中市,2000,5,男,35-49,3
台中市,2000,5,男,50-64,1
台北市,2000,5,男,25-34,6
台北市,2000,5,男,35-49,2
台北市,2000,5,男,65以上,1
台南市,2000,5,女,35-49,1
台南市,2000,5,女,50-64,1
台南市,2000,5,男,15-24,1
台南市,2000,5,男,25-34,1
台南市,2000,5,男,50-64,1
宜蘭縣,2000,5,女,35-49,1
花蓮縣,2000,5,女,15-24,1
花蓮縣,2000,5,男,25-34,1
南投縣,2000,5,男,35-49,1
屏東縣,2000,5,男,15-24,1
桃園市,2000,5,女,25-34,2
高雄市,2000,5,女,25-34,1
高雄市,2000,5,女,35-49,1
高雄市,2000,5,女,50-64,1
高雄市,2000,5,男,25-34,3
高雄市,2000,5,男,35-49,2
雲林縣,2000,5,男,35-49,1
新北市,2000,5,男,15-24,5
新北市,2000,5,男,25-34,7
新北市,2000,5,男,35-49,3
新北市,2000,5,男,50-64,1
彰化縣,2000,5,男,25-34,1
彰化縣,2000,5,男,35-49,1
台中市,2000,6,女,35-49,1
台中市,2000,6,男,15-24,1
台中市,2000,6,男,25-34,2
台中市,2000,6,男,35-49,3
台中市,2000,6,男,50-64,1
台北市,2000,6,男,25-34,7
台北市,2000,6,男,65以上,1
台南市,2000,6,女,15-24,1
台南市,2000,6,男,15-24,1
台南市,2000,6,男,65以上,1
宜蘭縣,2000,6,男,25-34,1
南投縣,2000,6,男,50-64,1
屏東縣,2000,6,男,35-49,1
桃園市,2000,6,女,50-64,1
桃園市,2000,6,女,未滿15,1
桃園市,2000,6,男,25-34,2
高雄市,2000,6,男,15-24,2
高雄市,2000,6,男,25-34,2
基隆市,2000,6,女,50-64,1
基隆市,2000,6,男,25-34,1
基隆市,2000,6,男,50-64,1
雲林縣,2000,6,男,15-24,1
新北市,2000,6,男,25-34,4
新北市,2000,6,男,35-49,1
新北市,2000,6,男,50-64,1
新竹市,2000,6,男,25-34,1
新竹縣,2000,6,男,25-34,1
彰化縣,2000,6,男,35-49,1
台中市,2000,7,男,15-24,1
台中市,2000,7,男,25-34,4
台中市,2000,7,男,35-49,1
台北市,2000,7,女,25-34,1
台北市,2000,7,男,15-24,2
台北市,2000,7,男,25-34,3
台北市,2000,7,男,35-49,1
台北市,2000,7,男,50-64,1
台東縣,2000,7,男,15-24,1
台南市,2000,7,男,25-34,1
花蓮縣,2000,7,男,15-24,1
南投縣,2000,7,男,15-24,1
南投縣,2000,7,男,25-34,1
南投縣,2000,7,男,35-49,1
屏東縣,2000,7,男,15-24,1
屏東縣,2000,7,男,50-64,1
桃園市,2000,7,男,15-24,1
桃園市,2000,7,男,35-49,1
高雄市,2000,7,男,25-34,1
基隆市,2000,7,男,35-49,1
雲林縣,2000,7,男,25-34,1
新北市,2000,7,女,35-49,1
新北市,2000,7,男,15-24,2
新北市,2000,7,男,25-34,3
新北市,2000,7,男,35-49,3
新竹縣,2000,7,女,25-34,1
嘉義縣,2000,7,女,25-34,1
嘉義縣,2000,7,男,35-49,1
嘉義縣,2000,7,男,65以上,1
台中市,2000,8,男,15-24,1
台中市,2000,8,男,25-34,4
台中市,2000,8,男,35-49,6
台北市,2000,8,男,15-24,1
台北市,2000,8,男,25-34,3
台北市,2000,8,男,35-49,2
台東縣,2000,8,男,25-34,1
屏東縣,2000,8,男,25-34,1
屏東縣,2000,8,男,35-49,1
桃園市,2000,8,男,15-24,1
桃園市,2000,8,男,25-34,6
桃園市,2000,8,男,35-49,1
高雄市,2000,8,男,15-24,1
高雄市,2000,8,男,25-34,3
高雄市,2000,8,男,35-49,2
基隆市,2000,8,男,35-49,1
新北市,2000,8,女,25-34,1
新北市,2000,8,女,35-49,2
新北市,2000,8,男,15-24,1
新北市,2000,8,男,25-34,5
新北市,2000,8,男,35-49,2
新北市,2000,8,男,50-64,2
新竹市,2000,8,男,15-24,1
新竹市,2000,8,男,35-49,1
嘉義縣,2000,8,男,15-24,1
嘉義縣,2000,8,男,25-34,1
彰化縣,2000,8,男,15-24,1
彰化縣,2000,8,男,35-49,2
澎湖縣,2000,8,男,25-34,1
台中市,2000,9,男,15-24,1
台中市,2000,9,男,25-34,2
台中市,2000,9,男,35-49,1
台北市,2000,9,男,25-34,2
台北市,2000,9,男,35-49,4
台東縣,2000,9,男,25-34,1
台南市,2000,9,女,35-49,1
台南市,2000,9,男,35-49,2
宜蘭縣,2000,9,男,35-49,1
花蓮縣,2000,9,男,15-24,1
南投縣,2000,9,男,25-34,1
屏東縣,2000,9,男,50-64,1
苗栗縣,2000,9,男,25-34,1
桃園市,2000,9,男,15-24,1
桃園市,2000,9,男,25-34,5
桃園市,2000,9,男,35-49,1
桃園市,2000,9,男,50-64,1
高雄市,2000,9,男,15-24,3
高雄市,2000,9,男,25-34,1
高雄市,2000,9,男,35-49,1
高雄市,2000,9,男,50-64,1
基隆市,2000,9,男,15-24,1
基隆市,2000,9,男,35-49,1
基隆市,2000,9,男,65以上,1
新北市,2000,9,男,15-24,5
新北市,2000,9,男,25-34,4
新北市,2000,9,男,35-49,2
新北市,2000,9,男,50-64,1
新竹市,2000,9,男,25-34,1
嘉義市,2000,9,女,25-34,1
台中市,2000,10,男,15-24,3
台中市,2000,10,男,25-34,4
台中市,2000,10,男,35-49,3
台北市,2000,10,女,15-24,1
台北市,2000,10,男,15-24,2
台北市,2000,10,男,25-34,3
台北市,2000,10,男,35-49,2
台北市,2000,10,男,50-64,2
台北市,2000,10,男,65以上,1
台南市,2000,10,男,25-34,1
台南市,2000,10,男,35-49,1
台南市,2000,10,男,50-64,1
花蓮縣,2000,10,男,15-24,1
桃園市,2000,10,女,25-34,1
桃園市,2000,10,女,35-49,1
桃園市,2000,10,男,25-34,2
桃園市,2000,10,男,35-49,2
桃園市,2000,10,男,50-64,3
高雄市,2000,10,女,50-64,1
高雄市,2000,10,男,15-24,2
高雄市,2000,10,男,35-49,1
高雄市,2000,10,男,50-64,1
雲林縣,2000,10,男,35-49,1
新北市,2000,10,女,25-34,1
新北市,2000,10,男,15-24,1
新北市,2000,10,男,25-34,4
新北市,2000,10,男,35-49,3
新北市,2000,10,男,50-64,1
新竹縣,2000,10,男,15-24,1
台中市,2000,11,女,25-34,1
台中市,2000,11,男,15-24,1
台中市,2000,11,男,25-34,5
台中市,2000,11,男,35-49,3
台中市,2000,11,男,50-64,1
台北市,2000,11,女,50-64,1
台北市,2000,11,男,15-24,2
台北市,2000,11,男,25-34,1
台北市,2000,11,男,50-64,1
台南市,2000,11,女,25-34,1
台南市,2000,11,男,25-34,1
台南市,2000,11,男,50-64,1
宜蘭縣,2000,11,男,25-34,3
屏東縣,2000,11,男,15-24,1
屏東縣,2000,11,男,25-34,1
屏東縣,2000,11,男,35-49,1
桃園市,2000,11,男,25-34,1
高雄市,2000,11,男,15-24,1
高雄市,2000,11,男,25-34,2
高雄市,2000,11,男,35-49,1
基隆市,2000,11,男,25-34,1
基隆市,2000,11,男,35-49,1
新北市,2000,11,男,15-24,6
新北市,2000,11,男,25-34,4
新北市,2000,11,男,35-49,6
新竹市,2000,11,男,25-34,1
台中市,2000,12,女,35-49,1
台中市,2000,12,男,15-24,1
台中市,2000,12,男,25-34,1
台中市,2000,12,男,35-49,5
台中市,2000,12,男,50-64,1
台北市,2000,12,男,15-24,1
台北市,2000,12,男,25-34,3
台北市,2000,12,男,35-49,4
台北市,2000,12,男,50-64,1
台東縣,2000,12,男,25-34,1
宜蘭縣,2000,12,女,25-34,1
宜蘭縣,2000,12,女,35-49,1
宜蘭縣,2000,12,男,35-49,1
花蓮縣,2000,12,男,25-34,1
南投縣,2000,12,男,15-24,1
南投縣,2000,12,男,25-34,1
屏東縣,2000,12,男,35-49,1
桃園市,2000,12,女,25-34,1
桃園市,2000,12,男,15-24,1
桃園市,2000,12,男,35-49,1
桃園市,2000,12,男,50-64,1
高雄市,2000,12,女,25-34,2
高雄市,2000,12,男,15-24,1
高雄市,2000,12,男,25-34,2
高雄市,2000,12,男,35-49,2
雲林縣,2000,12,男,25-34,1
新北市,2000,12,男,15-24,4
新北市,2000,12,男,25-34,5
新北市,2000,12,男,35-49,2
新北市,2000,12,男,50-64,1
新竹縣,2000,12,男,35-49,1
嘉義縣,2000,12,男,25-34,1
彰化縣,2000,12,男,35-49,1
台中市,2001,1,男,25-34,3
台中市,2001,1,男,50-64,1
台北市,2001,1,男,25-34,4
台北市,2001,1,男,35-49,1
台南市,2001,1,男,25-34,1
台南市,2001,1,男,35-49,4
台南市,2001,1,男,50-64,1
宜蘭縣,2001,1,男,50-64,1
屏東縣,2001,1,男,50-64,1
桃園市,2001,1,男,15-24,1
桃園市,2001,1,男,35-49,2
桃園市,2001,1,男,65以上,1
高雄市,2001,1,男,15-24,1
高雄市,2001,1,男,25-34,1
高雄市,2001,1,男,35-49,1
高雄市,2001,1,男,65以上,1
基隆市,2001,1,男,25-34,1
新北市,2001,1,女,35-49,1
新北市,2001,1,男,15-24,2
新北市,2001,1,男,25-34,2
新北市,2001,1,男,35-49,3
新北市,2001,1,男,50-64,1
新竹縣,2001,1,男,25-34,1
嘉義縣,2001,1,男,35-49,1
彰化縣,2001,1,男,25-34,1
台中市,2001,2,男,25-34,3
台中市,2001,2,男,35-49,2
台北市,2001,2,男,15-24,1
台北市,2001,2,男,25-34,1
台北市,2001,2,男,35-49,3
台南市,2001,2,男,15-24,1
台南市,2001,2,男,25-34,1
花蓮縣,2001,2,男,15-24,1
南投縣,2001,2,男,25-34,1
南投縣,2001,2,男,35-49,1
苗栗縣,2001,2,男,35-49,1
苗栗縣,2001,2,男,65以上,1
高雄市,2001,2,男,15-24,3
高雄市,2001,2,男,25-34,2
高雄市,2001,2,男,35-49,2
新北市,2001,2,女,50-64,1
新北市,2001,2,男,15-24,1
新北市,2001,2,男,25-34,8
新北市,2001,2,男,35-49,2
彰化縣,2001,2,男,25-34,1
台中市,2001,3,男,35-49,2
台中市,2001,3,男,65以上,1
台北市,2001,3,男,15-24,1
台北市,2001,3,男,25-34,4
台北市,2001,3,男,35-49,2
台北市,2001,3,男,50-64,1
台南市,2001,3,男,25-34,2
台南市,2001,3,男,35-49,3
台南市,2001,3,男,50-64,1
宜蘭縣,2001,3,男,25-34,2
花蓮縣,2001,3,女,25-34,1
花蓮縣,2001,3,男,25-34,1
屏東縣,2001,3,男,35-49,1
高雄市,2001,3,男,35-49,4
高雄市,2001,3,男,50-64,2
基隆市,2001,3,男,50-64,1
新北市,2001,3,女,35-49,1
新北市,2001,3,女,50-64,1
新北市,2001,3,男,15-24,7
新北市,2001,3,男,25-34,6
新北市,2001,3,男,35-49,2
彰化縣,2001,3,男,15-24,2
台中市,2001,4,女,15-24,1
台中市,2001,4,女,35-49,1
台中市,2001,4,男,15-24,2
台中市,2001,4,男,25-34,4
台中市,2001,4,男,35-49,2
台北市,2001,4,女,35-49,1
台北市,2001,4,男,15-24,3
台北市,2001,4,男,25-34,3
台北市,2001,4,男,35-49,1
台北市,2001,4,男,65以上,1
台南市,2001,4,男,65以上,1
花蓮縣,2001,4,男,35-49,1
屏東縣,2001,4,男,15-24,1
屏東縣,2001,4,男,35-49,2
屏東縣,2001,4,男,65以上,1
苗栗縣,2001,4,男,15-24,1
桃園市,2001,4,男,25-34,4
桃園市,2001,4,男,35-49,2
高雄市,2001,4,男,15-24,1
高雄市,2001,4,男,25-34,4
高雄市,2001,4,男,35-49,1
雲林縣,2001,4,男,35-49,1
新北市,2001,4,男,15-24,2
新北市,2001,4,男,25-34,6
新北市,2001,4,男,35-49,4
新北市,2001,4,男,50-64,2
新竹市,2001,4,男,25-34,1
嘉義市,2001,4,男,15-24,1
彰化縣,2001,4,男,25-34,1
彰化縣,2001,4,男,35-49,1
彰化縣,2001,4,男,50-64,1
台中市,2001,5,男,15-24,2
台中市,2001,5,男,25-34,3
台中市,2001,5,男,35-49,2
台中市,2001,5,男,50-64,1
台北市,2001,5,女,50-64,1
台北市,2001,5,男,15-24,4
台北市,2001,5,男,25-34,8
台北市,2001,5,男,35-49,4
台南市,2001,5,男,25-34,1
宜蘭縣,2001,5,男,25-34,1
宜蘭縣,2001,5,男,35-49,1
屏東縣,2001,5,男,25-34,1
屏東縣,2001,5,男,50-64,1
桃園市,2001,5,男,25-34,3
桃園市,2001,5,男,35-49,1
桃園市,2001,5,男,50-64,1
桃園市,2001,5,男,65以上,1
高雄市,2001,5,女,35-49,1
高雄市,2001,5,男,15-24,3
高雄市,2001,5,男,25-34,2
高雄市,2001,5,男,50-64,1
基隆市,2001,5,男,25-34,1
基隆市,2001,5,男,35-49,1
新北市,2001,5,男,25-34,7
新北市,2001,5,男,35-49,7
新竹市,2001,5,男,25-34,1
嘉義縣,2001,5,男,25-34,1
彰化縣,2001,5,男,15-24,1
彰化縣,2001,5,男,25-34,1
台中市,2001,6,女,35-49,1
台中市,2001,6,男,15-24,1
台中市,2001,6,男,25-34,1
台中市,2001,6,男,35-49,2
台北市,2001,6,男,15-24,3
台北市,2001,6,男,25-34,4
台北市,2001,6,男,35-49,2
台南市,2001,6,男,15-24,1
台南市,2001,6,男,35-49,1
屏東縣,2001,6,男,50-64,2
桃園市,2001,6,男,15-24,1
桃園市,2001,6,男,25-34,1
桃園市,2001,6,男,35-49,1
桃園市,2001,6,男,50-64,1
高雄市,2001,6,男,15-24,3
高雄市,2001,6,男,25-34,3
高雄市,2001,6,男,35-49,1
新北市,2001,6,男,15-24,4
新北市,2001,6,男,25-34,4
新北市,2001,6,男,35-49,2
新北市,2001,6,男,50-64,1
嘉義市,2001,6,男,25-34,1
彰化縣,2001,6,男,25-34,1
彰化縣,2001,6,男,35-49,1
台中市,2001,7,女,15-24,1
台中市,2001,7,男,25-34,1
台中市,2001,7,男,35-49,3
台北市,2001,7,男,15-24,2
台北市,2001,7,男,25-34,6
台北市,2001,7,男,35-49,2
台北市,2001,7,男,50-64,1
台南市,2001,7,男,25-34,1
台南市,2001,7,男,35-49,2
台南市,2001,7,男,50-64,4
台南市,2001,7,男,65以上,1
宜蘭縣,2001,7,男,15-24,1
宜蘭縣,2001,7,男,25-34,1
宜蘭縣,2001,7,男,35-49,2
屏東縣,2001,7,男,25-34,1
屏東縣,2001,7,男,35-49,1
桃園市,2001,7,男,25-34,2
桃園市,2001,7,男,35-49,2
高雄市,2001,7,女,50-64,1
高雄市,2001,7,男,15-24,2
高雄市,2001,7,男,35-49,1
高雄市,2001,7,男,65以上,1
新北市,2001,7,男,15-24,6
新北市,2001,7,男,25-34,5
新北市,2001,7,男,35-49,6
彰化縣,2001,7,男,15-24,1
彰化縣,2001,7,男,25-34,3
台中市,2001,8,男,25-34,2
台中市,2001,8,男,35-49,3
台中市,2001,8,男,50-64,1
台北市,2001,8,男,15-24,4
台北市,2001,8,男,25-34,7
台北市,2001,8,男,35-49,3
台北市,2001,8,男,50-64,1
台北市,2001,8,男,65以上,1
台東縣,2001,8,男,15-24,1
台南市,2001,8,男,15-24,1
台南市,2001,8,男,25-34,1
屏東縣,2001,8,男,15-24,1
屏東縣,2001,8,男,35-49,1
桃園市,2001,8,女,35-49,1
桃園市,2001,8,男,15-24,2
桃園市,2001,8,男,25-34,2
桃園市,2001,8,男,35-49,3
高雄市,2001,8,男,15-24,2
高雄市,2001,8,男,25-34,2
高雄市,2001,8,男,35-49,3
基隆市,2001,8,男,50-64,1
雲林縣,2001,8,男,15-24,1
新北市,2001,8,女,35-49,1
新北市,2001,8,男,15-24,2
新北市,2001,8,男,25-34,9
新北市,2001,8,男,35-49,4
新北市,2001,8,男,50-64,1
新竹縣,2001,8,男,25-34,1
台中市,2001,9,女,25-34,1
台中市,2001,9,男,15-24,1
台中市,2001,9,男,25-34,2
台中市,2001,9,男,35-49,1
台中市,2001,9,男,50-64,3
台北市,2001,9,男,15-24,1
台北市,2001,9,男,25-34,3
台北市,2001,9,男,35-49,5
台北市,2001,9,男,50-64,4
台南市,2001,9,女,50-64,2
台南市,2001,9,男,15-24,1
台南市,2001,9,男,25-34,1
台南市,2001,9,男,35-49,1
宜蘭縣,2001,9,女,35-49,1
花蓮縣,2001,9,男,15-24,1
花蓮縣,2001,9,男,25-34,1
屏東縣,2001,9,男,15-24,2
苗栗縣,2001,9,男,25-34,1
桃園市,2001,9,男,15-24,4
桃園市,2001,9,男,25-34,1
高雄市,2001,9,男,15-24,3
高雄市,2001,9,男,35-49,4
基隆市,2001,9,女,35-49,1
新北市,2001,9,女,15-24,1
新北市,2001,9,男,15-24,3
新北市,2001,9,男,25-34,4
新北市,2001,9,男,35-49,4
新北市,2001,9,男,50-64,2
新北市,2001,9,男,65以上,1
台中市,2001,10,女,35-49,1
台中市,2001,10,男,25-34,3
台中市,2001,10,男,35-49,1
台北市,2001,10,男,15-24,1
台北市,2001,10,男,25-34,4
台北市,2001,10,男,35-49,3
台北市,2001,10,男,50-64,1
台東縣,2001,10,男,25-34,1
台南市,2001,10,男,15-24,1
台南市,2001,10,男,50-64,1
花蓮縣,2001,10,男,15-24,1
花蓮縣,2001,10,男,65以上,1
南投縣,2001,10,男,50-64,1
屏東縣,2001,10,男,35-49,1
桃園市,2001,10,男,25-34,1
桃園市,2001,10,男,35-49,2
高雄市,2001,10,男,15-24,3
高雄市,2001,10,男,25-34,3
高雄市,2001,10,男,35-49,3
高雄市,2001,10,男,50-64,1
高雄市,2001,10,男,65以上,1
基隆市,2001,10,男,25-34,1
基隆市,2001,10,男,35-49,1
雲林縣,2001,10,男,25-34,1
新北市,2001,10,男,15-24,3
新北市,2001,10,男,25-34,4
新北市,2001,10,男,35-49,3
新北市,2001,10,男,50-64,2
新竹縣,2001,10,女,50-64,1
新竹縣,2001,10,男,25-34,1
嘉義市,2001,10,男,35-49,1
嘉義縣,2001,10,男,35-49,1
彰化縣,2001,10,男,15-24,1
台中市,2001,11,女,35-49,1
台中市,2001,11,男,15-24,2
台中市,2001,11,男,25-34,4
台中市,2001,11,男,35-49,2
台北市,2001,11,男,15-24,2
台北市,2001,11,男,25-34,11
台北市,2001,11,男,35-49,2
台南市,2001,11,男,15-24,2
台南市,2001,11,男,25-34,1
台南市,2001,11,男,35-49,1
台南市,2001,11,男,65以上,1
宜蘭縣,2001,11,男,15-24,1
宜蘭縣,2001,11,男,25-34,1
花蓮縣,2001,11,男,25-34,1
屏東縣,2001,11,男,35-49,1
屏東縣,2001,11,男,50-64,1
苗栗縣,2001,11,男,15-24,2
苗栗縣,2001,11,男,25-34,1
桃園市,2001,11,男,35-49,1
高雄市,2001,11,男,25-34,4
高雄市,2001,11,男,35-49,3
基隆市,2001,11,男,25-34,1
基隆市,2001,11,男,50-64,1
新北市,2001,11,男,15-24,1
新北市,2001,11,男,25-34,7
新北市,2001,11,男,35-49,2
新北市,2001,11,男,65以上,1
新竹縣,2001,11,男,15-24,1
嘉義縣,2001,11,男,25-34,2
彰化縣,2001,11,男,35-49,1
台中市,2001,12,男,25-34,6
台中市,2001,12,男,35-49,3
台北市,2001,12,女,35-49,1
